comment_id,comment_text,account_age_days,posting_frequency_per_min,similarity_to_trending,engagement_rate,is_it_cell
C0272,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,5,15.11,0.859,43.31,1
C0273,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!! #JOINNOW,6,13.3,0.765,33.0,1
C0274,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,62,11.8,0.893,22.85,1
C0275,Follow my account for free premium tips and tricks. Guaranteed success!,14,7.38,0.838,23.87,1
C0276,Boycott this movie! It hurts community sentiments! #BoycottTrending #ALERT,9,11.65,0.645,37.16,1
C0277,I absolutely love this new update! The UI looks clean and crisp. !!,612,0.6,0.145,14.39,0
C0278,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",830,0.12,0.25,9.53,0
C0279,Struggling with coding errors all day... need a break lol.,177,0.37,0.3,16.25,0
C0280,What a great performance by the team. Very happy with the result. ...,660,0.4,0.118,22.38,0
C0281,Just finished reading this book. Highly recommend it to everyone. ...,952,0.63,0.253,13.19,0
C0282,Follow my account for free premium tips and tricks. Guaranteed success! #ALERT,7,10.69,0.734,31.52,1
C0283,Boycott this movie! It hurts community sentiments! #BoycottTrending,83,9.25,0.888,23.73,1
C0284,Does anyone know if the local train is running on schedule today?,831,0.05,0.242,13.73,0
C0285,What a great performance by the team. Very happy with the result.,1199,0.05,0.359,11.3,0
C0286,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!! #JOINNOW,5,8.25,0.877,26.2,1
C0287,Earn passive income easily. Sign up using code BOT999. Real cash!,18,9.4,0.777,28.25,1
C0288,Earn passive income easily. Sign up using code BOT999. Real cash!,36,11.88,1.0,35.79,1
C0289,Earn passive income easily. Sign up using code BOT999. Real cash!,26,13.23,0.933,40.34,1
C0290,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,8,7.64,0.996,21.39,1
C0291,Boycott this movie! It hurts community sentiments! #BoycottTrending #MUSTWATCH,33,13.19,0.792,37.31,1
C0292,The customer service was really helpful and sorted my issue in 5 minutes.,928,0.63,0.311,14.27,0
C0293,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,64,5.26,0.688,18.09,1
C0294,This is completely fake! Stop spreading negative rumors immediately! #ALERT,44,14.28,0.764,42.63,1
C0295,Unbelievable development! Best leader of all time! Truly visionary leadership! #JOINNOW,52,12.48,0.677,29.77,1
C0296,"This recipe looks delicious, definitely trying it out this Sunday! 👍",142,0.23,0.305,4.24,0
C0297,Earn passive income easily. Sign up using code BOT999. Real cash!,15,10.79,0.997,34.25,1
C0298,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,29,3.0,0.718,11.23,1
C0299,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026 #ALERT,20,16.5,0.633,40.31,1
C0300,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",1209,1.23,0.288,14.82,0
C0301,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!! #ALERT,51,10.99,0.847,29.36,1
C0302,What a great performance by the team. Very happy with the result.,1021,0.49,0.055,7.65,0
C0303,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!! #ALERT,12,8.06,0.822,28.73,1
C0304,The customer service was really helpful and sorted my issue in 5 minutes.,1167,0.05,0.051,16.7,0
C0305,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!! #ALERT,17,11.46,0.781,29.89,1
C0306,"I'm not sure if this is correct, but let's see how it goes.",1020,1.05,0.172,12.8,0
C0307,"This recipe looks delicious, definitely trying it out this Sunday!",425,0.92,0.142,9.11,0
C0308,This channel is biased and spreading fake propaganda. Ban them!,31,12.25,0.815,35.7,1
C0309,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,52,10.86,0.848,31.05,1
C0310,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,16,6.81,0.651,19.15,1
C0311,Struggling with coding errors all day... need a break lol.,512,0.77,0.121,18.24,0
C0312,Can someone explain how to solve the 3rd question in the ML assignment?,530,0.58,0.066,22.73,0
C0313,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!! #ALERT,27,14.1,0.712,37.84,1
C0314,Beautiful weather today. Going out for a cup of coffee.,981,0.87,0.312,4.32,0
C0315,Boycott this movie! It hurts community sentiments! #BoycottTrending,15,13.07,0.789,44.66,1
C0316,"Haha that is so funny, thanks for making my day! haha",478,0.99,0.318,9.23,0
C0317,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",1027,0.99,0.112,10.98,0
C0318,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,3,7.6,0.715,22.09,1
C0319,This is completely fake! Stop spreading negative rumors immediately!,22,11.21,0.828,27.26,1
C0320,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!! #ALERT,64,13.85,1.0,32.91,1
C0321,Beautiful weather today. Going out for a cup of coffee.,306,0.71,0.345,10.7,0
C0322,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,2,18.91,0.867,52.4,1
C0323,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026 #JOINNOW,6,8.04,0.876,22.06,1
C0324,Don't listen to this fake news! The truth is hidden by mainstream media!,18,12.33,0.712,38.63,1
C0325,"Haha that is so funny, thanks for making my day!",1236,0.68,0.041,10.42,0
C0326,Earn passive income easily. Sign up using code BOT999. Real cash! #ALERT,147,12.29,0.894,28.6,1
C0327,The customer service was really helpful and sorted my issue in 5 minutes. 👍,1290,0.28,0.173,9.36,0
C0328,The customer service was really helpful and sorted my issue in 5 minutes.,944,0.65,0.208,6.65,0
C0329,Just finished reading this book. Highly recommend it to everyone.,444,0.29,0.126,12.44,0
C0330,That match last night was insane! What a finish in the last minute. 😊,1083,0.25,0.0,22.78,0
C0331,This is completely fake! Stop spreading negative rumors immediately!,22,7.47,0.799,25.09,1
C0332,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!! #MUSTWATCH,146,10.46,0.856,22.53,1
C0333,Can someone explain how to solve the 3rd question in the ML assignment? haha,1266,0.67,0.21,9.46,0
C0334,Earn passive income easily. Sign up using code BOT999. Real cash!,16,11.05,0.864,29.13,1
C0335,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,13,12.2,0.82,34.17,1
C0336,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,60,12.79,0.797,36.43,1
C0337,Can someone explain how to solve the 3rd question in the ML assignment? 👍,1356,0.67,0.151,5.44,0
C0338,Earn passive income easily. Sign up using code BOT999. Real cash! #ALERT,16,10.51,0.681,32.0,1
C0339,"I'm not sure if this is correct, but let's see how it goes.",821,0.05,0.085,1.0,0
C0340,Follow my account for free premium tips and tricks. Guaranteed success!,4,13.17,0.655,39.52,1
C0341,Unbelievable development! Best leader of all time! Truly visionary leadership! #ALERT,29,8.13,0.85,21.81,1
C0342,Earn passive income easily. Sign up using code BOT999. Real cash! #ALERT,159,11.75,0.818,25.41,1
C0343,Just finished reading this book. Highly recommend it to everyone.,554,0.41,0.111,12.85,0
C0344,The customer service was really helpful and sorted my issue in 5 minutes. !!,864,0.5,0.194,17.95,0
C0345,This channel is biased and spreading fake propaganda. Ban them! #JOINNOW,11,14.0,1.0,36.32,1
C0346,Just finished reading this book. Highly recommend it to everyone. haha,716,0.46,0.249,9.46,0
C0347,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,17,7.32,0.865,24.73,1
C0348,That match last night was insane! What a finish in the last minute. 😊,569,0.05,0.095,13.96,0
C0349,Beautiful weather today. Going out for a cup of coffee. 👍,208,0.56,0.148,14.9,0
C0350,Boycott this movie! It hurts community sentiments! #BoycottTrending,4,4.16,1.0,11.62,1
C0351,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!! #MUSTWATCH,12,11.84,0.779,39.14,1
C0352,Unbelievable development! Best leader of all time! Truly visionary leadership!,15,8.5,0.527,26.35,1
C0353,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,94,12.83,0.72,35.49,1
C0354,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026 #MUSTWATCH,35,5.6,0.751,16.98,1
C0355,Boycott this movie! It hurts community sentiments! #BoycottTrending #ALERT,31,15.69,0.889,43.57,1
C0356,Just finished reading this book. Highly recommend it to everyone.,1320,0.97,0.153,8.23,0
C0357,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,5,12.35,1.0,34.94,1
C0358,"Honestly, I think the movie was slightly overrated, but the acting was top tier. ...",836,0.57,0.105,7.99,0
C0359,Just finished reading this book. Highly recommend it to everyone.,1319,0.21,0.017,15.4,0
C0360,I absolutely love this new update! The UI looks clean and crisp. 👍,1263,0.36,0.106,13.41,0
C0361,"I'm not sure if this is correct, but let's see how it goes.",516,0.27,0.238,15.04,0
C0362,What a great performance by the team. Very happy with the result. 👍,1324,0.12,0.1,13.41,0
C0363,What a great performance by the team. Very happy with the result. haha,429,0.69,0.272,9.08,0
C0364,"I'm not sure if this is correct, but let's see how it goes. 😊",815,0.94,0.33,15.73,0
C0365,Earn passive income easily. Sign up using code BOT999. Real cash! #MUSTWATCH,33,14.37,0.756,36.76,1
C0366,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,79,9.62,0.646,19.89,1
C0367,Can someone explain how to solve the 3rd question in the ML assignment?,30,0.67,0.165,9.58,0
C0368,The customer service was really helpful and sorted my issue in 5 minutes.,667,0.56,0.134,5.3,0
C0369,That match last night was insane! What a finish in the last minute.,1165,0.59,0.177,16.19,0
C0370,Follow my account for free premium tips and tricks. Guaranteed success!,19,8.75,0.859,28.13,1
C0371,"This recipe looks delicious, definitely trying it out this Sunday!",1065,0.85,0.168,5.52,0
C0372,Follow my account for free premium tips and tricks. Guaranteed success!,126,11.62,0.79,30.19,1
C0373,Follow my account for free premium tips and tricks. Guaranteed success!,8,14.31,0.949,40.44,1
C0374,"Wow, that sunset is gorgeous! Thanks for sharing the photo. !!",923,1.01,0.174,25.01,0
C0375,Boycott this movie! It hurts community sentiments! #BoycottTrending #MUSTWATCH,11,19.25,0.875,53.56,1
C0376,"This recipe looks delicious, definitely trying it out this Sunday! ...",1160,0.31,0.198,10.75,0
C0377,"This recipe looks delicious, definitely trying it out this Sunday! ...",792,0.75,0.057,18.44,0
C0378,"Haha that is so funny, thanks for making my day!",630,0.58,0.01,15.6,0
C0379,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",1378,0.35,0.039,13.39,0
C0380,This person is a traitor! Stop spreading lies about our great country! #JOINNOW,1,17.82,0.706,51.44,1
C0381,Boycott this movie! It hurts community sentiments! #BoycottTrending,96,6.2,0.667,14.34,1
C0382,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #MUSTWATCH,63,8.72,1.0,22.45,1
C0383,Does anyone know if the local train is running on schedule today?,889,0.78,0.008,3.2,0
C0384,Does anyone know if the local train is running on schedule today?,189,0.88,0.095,24.79,0
C0385,This person is a traitor! Stop spreading lies about our great country!,31,12.51,0.717,40.31,1
C0386,"I don't agree with your opinion, but I appreciate the respectful debate here.",1554,0.99,0.246,8.88,0
C0387,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!! #JOINNOW,53,15.31,0.702,40.61,1
C0388,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,2,16.46,0.722,48.89,1
C0389,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",1072,0.05,0.23,9.84,0
C0390,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,18,8.46,0.79,24.88,1
C0391,The customer service was really helpful and sorted my issue in 5 minutes. !!,1405,0.69,0.048,21.27,0
C0392,Unbelievable development! Best leader of all time! Truly visionary leadership!,31,10.6,0.831,33.39,1
C0393,Earn passive income easily. Sign up using code BOT999. Real cash! #ALERT,15,10.78,1.0,35.83,1
C0394,That match last night was insane! What a finish in the last minute.,604,0.16,0.164,3.16,0
C0395,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,11,16.13,0.777,43.67,1
C0396,Can someone explain how to solve the 3rd question in the ML assignment?,960,0.44,0.289,6.44,0
C0397,What a great performance by the team. Very happy with the result.,779,0.56,0.112,1.0,0
C0398,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #JOINNOW,40,11.36,0.728,32.81,1
C0399,"I'm not sure if this is correct, but let's see how it goes.",400,0.59,0.227,18.13,0
C0400,The customer service was really helpful and sorted my issue in 5 minutes. haha,759,0.44,0.062,7.87,0
C0401,Can someone explain how to solve the 3rd question in the ML assignment?,709,0.61,0.241,7.98,0
C0402,This channel is biased and spreading fake propaganda. Ban them!,18,9.9,0.798,29.15,1
C0403,Can someone explain how to solve the 3rd question in the ML assignment? !!,347,0.05,0.047,13.24,0
C0404,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,25,12.35,0.612,33.04,1
C0405,"Honestly, I think the movie was slightly overrated, but the acting was top tier. 👍",1117,0.12,0.179,5.22,0
C0406,This person is a traitor! Stop spreading lies about our great country!,19,12.32,0.842,32.42,1
C0407,"I don't agree with your opinion, but I appreciate the respectful debate here.",673,0.37,0.096,15.16,0
C0408,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!! #JOINNOW,25,10.2,0.678,29.44,1
C0409,"Haha that is so funny, thanks for making my day!",971,0.71,0.168,10.16,0
C0410,"I'm not sure if this is correct, but let's see how it goes.",468,0.53,0.043,1.0,0
C0411,That match last night was insane! What a finish in the last minute.,974,0.77,0.0,6.95,0
C0412,Boycott this movie! It hurts community sentiments! #BoycottTrending #ALERT,32,9.16,0.809,30.49,1
C0413,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!! #MUSTWATCH,19,12.23,0.722,32.23,1
C0414,This person is a traitor! Stop spreading lies about our great country!,6,16.65,0.708,41.99,1
C0415,Follow my account for free premium tips and tricks. Guaranteed success! #MUSTWATCH,64,12.38,0.765,28.06,1
C0416,Does anyone know if the local train is running on schedule today? 😊,1153,0.48,0.132,27.97,0
C0417,Beautiful weather today. Going out for a cup of coffee.,919,0.27,0.107,17.74,0
C0418,"I'm not sure if this is correct, but let's see how it goes.",845,0.07,0.242,8.66,0
C0419,Don't listen to this fake news! The truth is hidden by mainstream media!,26,16.75,0.864,47.87,1
C0420,"This recipe looks delicious, definitely trying it out this Sunday! 👍",723,0.13,0.162,16.91,0
C0421,Does anyone know if the local train is running on schedule today?,1062,0.75,0.107,10.67,0
C0422,Struggling with coding errors all day... need a break lol.,993,0.34,0.098,13.49,0
C0423,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,5,15.04,1.0,39.15,1
C0424,Does anyone know if the local train is running on schedule today?,809,0.92,0.142,14.26,0
C0425,What a great performance by the team. Very happy with the result.,375,0.63,0.131,16.93,0
C0426,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,6,12.13,0.768,40.4,1
C0427,Don't listen to this fake news! The truth is hidden by mainstream media!,67,12.9,0.823,32.84,1
C0428,"I don't agree with your opinion, but I appreciate the respectful debate here.",935,0.41,0.167,18.59,0
C0429,Earn passive income easily. Sign up using code BOT999. Real cash! #ALERT,38,10.79,0.565,29.58,1
C0430,Does anyone know if the local train is running on schedule today? 👍,1322,0.47,0.0,9.51,0
C0431,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,6,15.97,0.901,46.27,1
C0432,Does anyone know if the local train is running on schedule today? haha,704,0.39,0.111,7.39,0
C0433,"I don't agree with your opinion, but I appreciate the respectful debate here. 😊",1446,0.4,0.272,19.61,0
C0434,Struggling with coding errors all day... need a break lol.,1199,0.37,0.19,11.88,0
C0435,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!! #JOINNOW,31,13.49,0.705,40.76,1
C0436,Beautiful weather today. Going out for a cup of coffee.,351,0.38,0.202,9.45,0
C0437,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,31,15.11,0.815,47.04,1
C0438,"I'm not sure if this is correct, but let's see how it goes. 😊",399,0.3,0.201,12.9,0
C0439,"I'm not sure if this is correct, but let's see how it goes.",940,0.65,0.213,17.55,0
C0440,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,10,13.09,0.878,34.33,1
C0441,Unbelievable development! Best leader of all time! Truly visionary leadership! #JOINNOW,18,12.6,0.933,35.24,1
C0442,Earn passive income easily. Sign up using code BOT999. Real cash! #ALERT,24,13.01,0.792,35.76,1
C0443,"This recipe looks delicious, definitely trying it out this Sunday!",422,0.43,0.192,9.82,0
C0444,Unbelievable development! Best leader of all time! Truly visionary leadership!,73,15.0,0.889,40.7,1
C0445,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,1,15.55,0.737,45.8,1
C0446,That match last night was insane! What a finish in the last minute.,645,0.6,0.085,7.45,0
C0447,I absolutely love this new update! The UI looks clean and crisp.,836,0.05,0.12,3.97,0
C0448,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #MUSTWATCH,11,15.12,0.914,47.38,1
C0449,Boycott this movie! It hurts community sentiments! #BoycottTrending,67,14.94,0.722,39.25,1
C0450,"This recipe looks delicious, definitely trying it out this Sunday! !!",613,0.28,0.154,13.74,0
C0451,"I don't agree with your opinion, but I appreciate the respectful debate here.",1265,0.58,0.214,15.27,0
C0452,I absolutely love this new update! The UI looks clean and crisp.,1875,0.05,0.081,19.37,0
C0453,This is completely fake! Stop spreading negative rumors immediately!,28,10.59,0.784,32.93,1
C0454,I absolutely love this new update! The UI looks clean and crisp.,1444,0.89,0.314,15.71,0
C0455,Boycott this movie! It hurts community sentiments! #BoycottTrending,9,8.14,0.804,24.13,1
C0456,"I don't agree with your opinion, but I appreciate the respectful debate here.",30,0.63,0.164,19.4,0
C0457,This person is a traitor! Stop spreading lies about our great country!,22,14.44,0.725,40.58,1
C0458,Unbelievable development! Best leader of all time! Truly visionary leadership!,9,10.24,0.535,29.49,1
C0459,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,7,3.73,0.619,16.26,1
C0460,Don't listen to this fake news! The truth is hidden by mainstream media!,7,11.18,0.801,35.85,1
C0461,"I don't agree with your opinion, but I appreciate the respectful debate here.",568,0.64,0.423,13.89,0
C0462,"Haha that is so funny, thanks for making my day!",727,0.27,0.131,7.57,0
C0463,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",13,13.07,0.929,37.09,1
C0464,That match last night was insane! What a finish in the last minute.,1560,0.48,0.079,4.43,0
C0465,Earn passive income easily. Sign up using code BOT999. Real cash!,17,15.33,0.778,44.79,1
C0466,Just finished reading this book. Highly recommend it to everyone.,1412,0.78,0.096,12.72,0
C0467,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,35,9.54,0.768,24.43,1
C0468,Beautiful weather today. Going out for a cup of coffee.,30,0.28,0.129,7.06,0
C0469,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,42,14.05,0.78,41.7,1
C0470,Can someone explain how to solve the 3rd question in the ML assignment?,1262,0.85,0.0,13.03,0
C0471,Struggling with coding errors all day... need a break lol. !!,1103,0.61,0.214,12.29,0
C0472,Just finished reading this book. Highly recommend it to everyone.,502,0.05,0.085,25.39,0
C0473,The customer service was really helpful and sorted my issue in 5 minutes.,605,0.05,0.223,16.28,0
C0474,Can someone explain how to solve the 3rd question in the ML assignment? !!,1314,0.64,0.235,21.2,0
C0475,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",501,0.22,0.041,10.67,0
C0476,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!! #MUSTWATCH,49,17.73,0.835,47.66,1
C0477,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,75,4.72,0.717,7.54,1
C0478,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,28,16.68,0.924,48.68,1
C0479,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!! #MUSTWATCH,15,10.99,0.654,28.83,1
C0480,Unbelievable development! Best leader of all time! Truly visionary leadership! #ALERT,1,10.28,0.957,34.84,1
C0481,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,13,11.4,0.714,36.18,1
C0482,Follow my account for free premium tips and tricks. Guaranteed success!,28,7.27,0.652,20.0,1
C0483,What a great performance by the team. Very happy with the result.,789,0.58,0.069,14.12,0
C0484,What a great performance by the team. Very happy with the result.,610,0.5,0.205,12.03,0
C0485,Earn passive income easily. Sign up using code BOT999. Real cash!,15,7.61,0.757,17.86,1
C0486,"Wow, that sunset is gorgeous! Thanks for sharing the photo. 😊",658,0.47,0.173,13.2,0
C0487,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #ALERT,53,15.62,0.787,42.74,1
C0488,This channel is biased and spreading fake propaganda. Ban them!,15,14.12,0.555,40.1,1
C0489,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #MUSTWATCH,24,7.28,0.877,23.5,1
C0490,This channel is biased and spreading fake propaganda. Ban them!,18,7.75,0.695,19.69,1
C0491,Does anyone know if the local train is running on schedule today?,453,0.52,0.199,16.81,0
C0492,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,5,4.7,1.0,13.74,1
C0493,"I don't agree with your opinion, but I appreciate the respectful debate here.",30,0.41,0.26,21.79,0
C0494,This channel is biased and spreading fake propaganda. Ban them!,30,10.21,0.647,28.93,1
C0495,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!!,24,9.73,0.83,29.53,1
C0496,That match last night was insane! What a finish in the last minute. ...,1234,0.53,0.181,10.04,0
C0497,"I'm not sure if this is correct, but let's see how it goes. ...",907,0.4,0.212,10.15,0
C0498,"Haha that is so funny, thanks for making my day!",950,0.49,0.263,11.74,0
C0499,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!! #JOINNOW,27,6.21,0.699,21.09,1
C0500,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #MUSTWATCH,15,9.1,0.544,36.41,1
C0501,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign,26,16.78,0.76,46.89,1
C0502,Unbelievable development! Best leader of all time! Truly visionary leadership! #ALERT,94,17.97,0.776,44.77,1
C0503,"Honestly, I think the movie was slightly overrated, but the acting was top tier. ...",722,0.84,0.209,1.0,0
C0504,Just finished reading this book. Highly recommend it to everyone.,1062,0.56,0.148,10.06,0
C0505,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",1249,0.78,0.073,14.04,0
C0506,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026 #MUSTWATCH,11,16.58,0.736,43.22,1
C0507,"Worst brand ever! Total scam, do not buy their products! SCAMMER!! #MUSTWATCH",95,9.26,0.914,24.94,1
C0508,This is the best government in history. Clean sweep in next elections! #PropagandaCampaign #JOINNOW,11,14.06,0.886,40.86,1
C0509,Does anyone know if the local train is running on schedule today? 😊,562,0.71,0.268,14.92,0
C0510,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,29,13.8,0.797,35.4,1
C0511,"I don't agree with your opinion, but I appreciate the respectful debate here. haha",734,0.28,0.082,11.28,0
C0512,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",483,0.41,0.0,13.07,0
C0513,"I'm not sure if this is correct, but let's see how it goes.",800,0.25,0.216,16.69,0
C0514,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",2,11.35,0.715,30.28,1
C0515,Earn passive income easily. Sign up using code BOT999. Real cash! #JOINNOW,10,8.95,0.9,26.29,1
C0516,This is completely fake! Stop spreading negative rumors immediately!,12,5.84,0.784,19.24,1
C0517,"I'm not sure if this is correct, but let's see how it goes.",809,0.05,0.27,7.73,0
C0518,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,66,13.34,0.5,35.6,1
C0519,"I'm not sure if this is correct, but let's see how it goes.",1520,0.87,0.171,9.54,0
C0520,"I don't agree with your opinion, but I appreciate the respectful debate here. !!",1122,0.21,0.198,14.53,0
C0521,Earn passive income easily. Sign up using code BOT999. Real cash!,25,7.38,0.808,19.98,1
C0522,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026 #MUSTWATCH,21,15.56,0.717,41.62,1
C0523,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!! #MUSTWATCH,30,9.5,0.802,30.12,1
C0524,Don't listen to this fake news! The truth is hidden by mainstream media!,2,7.87,0.899,21.97,1
C0525,This person is a traitor! Stop spreading lies about our great country! #JOINNOW,12,10.91,0.707,33.86,1
C0526,This channel is biased and spreading fake propaganda. Ban them! #ALERT,12,10.05,0.832,30.11,1
C0527,"This recipe looks delicious, definitely trying it out this Sunday!",1140,0.46,0.189,11.48,0
C0528,This channel is biased and spreading fake propaganda. Ban them! #ALERT,3,11.74,1.0,38.91,1
C0529,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",268,0.66,0.068,12.96,0
C0530,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!! #MUSTWATCH,43,12.27,0.811,34.12,1
C0531,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,11,12.81,0.766,35.16,1
C0532,Unbelievable development! Best leader of all time! Truly visionary leadership!,14,12.56,0.8,37.5,1
C0533,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!! #MUSTWATCH,18,6.23,0.775,15.46,1
C0534,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,2,6.33,0.746,25.08,1
C0535,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!! #ALERT,52,10.41,0.858,27.31,1
C0536,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",1641,0.42,0.187,16.85,0
C0537,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,11,18.41,0.845,47.77,1
C0538,I absolutely love this new update! The UI looks clean and crisp.,452,0.84,0.031,20.21,0
C0539,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,38,12.77,0.782,32.39,1
C0540,"I'm not sure if this is correct, but let's see how it goes.",234,0.05,0.162,4.37,0
C0541,This person is a traitor! Stop spreading lies about our great country! #MUSTWATCH,1,7.46,0.773,20.62,1
C0542,Just finished reading this book. Highly recommend it to everyone.,30,0.44,0.391,15.92,0
